# Plan E
# MPE for 400 to 700 nm
5.0e-04   3.777e-01
6.0e-04   3.777e-01
7.0e-04   3.777e-01
8.0e-04   3.777e-01
9.0e-04   3.777e-01
1.0e-03   3.773e-01
2.0e-03   3.961e-01
3.0e-03   4.087e-01
4.0e-03   4.185e-01
5.0e-03   4.266e-01
6.0e-03   4.335e-01
7.0e-03   4.397e-01
8.0e-03   4.452e-01
9.0e-03   4.502e-01
1.0e-02   4.548e-01
2.0e-02   4.883e-01
3.0e-02   5.107e-01
4.0e-02   5.281e-01
5.0e-02   5.425e-01
6.0e-02   5.548e-01
7.0e-02   5.657e-01
8.0e-02   5.755e-01
9.0e-02   5.844e-01
1.0e-01   5.926e-01
2.0e-01   6.522e-01
3.0e-01   6.921e-01
4.0e-01   7.230e-01
5.0e-01   7.486e-01
6.0e-01   7.705e-01
7.0e-01   7.899e-01
8.0e-01   8.073e-01
9.0e-01   8.231e-01
1.0e+00   8.377e-01
2.0e+00   9.436e-01
3.0e+00   1.015e+00
4.0e+00   1.078e+00
5.0e+00   1.078e+00
6.0e+00   1.078e+00
7.0e+00   1.078e+00
8.0e+00   1.078e+00
9.0e+00   1.078e+00


# MPE for 1400 nm
1.0e-09   3.000e-01
1.0e-03   2.996e-01
4.0e+00   1.000e+00
1.0e+01   1.000e+00
